step,loss,loss/mean,loss/std,lr,momentum,r2squared
75,0.0943468405554692,0.0943468405554692,0.001446556678589045,0.00021363242995974742,0.9,0.8978526592254639
76,0.09431445101896921,0.09431445101896921,0.0019234313048014304,0.00019868268181037185,0.9,0.8978976607322693
77,0.0942337236677607,0.0942337236677607,0.001864085016087199,0.00018414449687337466,0.9,0.8980050683021545
78,0.09431697893887757,0.09431697893887757,0.0022108731374959286,0.0001700377325606388,0.9,0.8979014754295349
79,0.09420836654802164,0.09420836654802164,0.001445852056024811,0.00015638165701536866,0.9,0.8980103731155396
80,0.09390877932310104,0.09390877932310104,0.001986998392737122,0.00014319492279412388,0.9,0.8983184099197388
81,0.09387758839875461,0.09387758839875461,0.002039679594169971,0.0001304955413896705,0.9,0.8983532190322876
82,0.09409626790632802,0.09409626790632802,0.0019620221870792717,0.00011830085862944851,0.9,0.8981142640113831
83,0.09381256966541211,0.09381256966541211,0.0021285884374144023,0.00010662753098325839,0.9,0.8984677195549011
84,0.09389576160659392,0.09389576160659392,0.0021825584599815683,9.549150281252633e-05,0.9,0.8983637094497681
85,0.0938104260712862,0.0938104260712862,0.0020080465628596346,8.490798459222476e-05,0.9,0.8984420299530029
86,0.09360215657701094,0.09360215657701094,0.001978216615991843,7.489143213519301e-05,0.9,0.898672342300415
87,0.09382832329720259,0.09382832329720259,0.0016529334337554737,6.545552684723583e-05,0.9,0.8984226584434509
88,0.09361898774902024,0.09361898774902024,0.0018838355179908166,5.6613157039969057e-05,0.9,0.898648202419281
89,0.09354752736787,0.09354752736787,0.0018324079907033471,4.8376400326935575e-05,0.9,0.8987505435943604
90,0.0936729470267892,0.0936729470267892,0.001739873932618145,4.075650712703849e-05,0.9,0.898585319519043
91,0.09360773240526517,0.09360773240526517,0.0019728380971651624,3.376388529782215e-05,0.9,0.898665189743042
92,0.09353116061538458,0.09353116061538458,0.0020007395987219952,2.7408085919590266e-05,0.9,0.8987343311309814
93,0.09358512020359439,0.09358512020359439,0.0016739479878421983,2.1697790249779635e-05,0.9,0.8986784219741821
94,0.09358324700345595,0.09358324700345595,0.0016586398432383873,1.6640797865406288e-05,0.9,0.8986978530883789
95,0.09341161573926608,0.09341161573926608,0.0017642058688107016,1.22440160097817e-05,0.9,0.898901104927063
96,0.0934951879704992,0.0934951879704992,0.001534538977599274,8.513450158049108e-06,0.9,0.8987786769866943
97,0.09355405873308581,0.09355405873308581,0.0019149802941345667,5.454195814427021e-06,0.9,0.8987268805503845
98,0.09350039965162675,0.09350039965162675,0.0014943158681199969,3.0704315523631954e-06,0.9,0.8987881541252136
99,0.09358302628000577,0.09358302628000577,0.0019260313018477052,1.3654133071059894e-06,0.9,0.8986828923225403
100,0.09346289839595556,0.09346289839595556,0.0018437780864543952,3.4146992848854695e-07,0.9,0.8988116383552551
